,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
39524,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,E,C,T,L,D,A,A,D,D,J,H,G,BI,CS,C,AS,AD,A,N,DC,0.487367,0.299102,0.246911,0.62377,0.281143,0.308378,0.263684,0.44697,0.42289,0.26029,0.192281,0.190178,0.470036,0.730255,659.85
39672,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,B,D,A,C,F,F,F,G,D,BI,EG,A,E,H,A,J,GS,0.324129,0.620805,0.692825,0.284048,0.317541,0.464543,0.73751,0.7133,0.43111,0.43919,0.569745,0.55738,0.282249,0.811477,2128.71
40034,B,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,D,D,E,E,A,P,I,C,A,A,D,D,K,G,B,AB,AI,C,R,X,A,L,CR,0.283689,0.15999,0.246911,0.886774,0.651246,0.207627,0.238997,0.64027,0.31945,0.21983,0.169206,0.167768,0.293178,0.439816,753.9
40047,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,C,B,A,B,D,B,A,A,A,G,H,D,C,C,D,G,D,T,F,A,A,A,K,E,E,I,K,BI,CL,A,F,L,E,P,LN,0.853789,0.555782,0.298977,0.761209,0.281143,0.907555,0.73396,0.89839,0.81945,0.80914,0.82184,0.810292,0.861364,0.741896,1286.38
40321,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,A,A,C,B,D,D,A,A,A,B,H,C,D,C,E,C,D,T,F,A,A,C,G,G,G,I,E,BI,BT,E,J,AG,A,M,HK,0.506211,0.681761,0.844219,0.208655,0.281143,0.613031,0.827223,0.2926,0.53356,0.67554,0.805285,0.793317,0.569546,0.384626,3252.41
40345,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,B,B,A,C,B,D,B,D,A,A,B,H,D,B,C,E,A,C,T,F,A,A,A,K,G,F,H,G,BU,BC,C,F,S,A,O,MD,0.894333,0.488789,0.356819,0.83884,0.594196,0.857383,0.629867,0.68823,0.91644,0.82571,0.888438,0.879347,0.828258,0.746096,1261.36
40548,A,B,B,A,A,A,A,A,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,B,A,A,D,B,D,E,E,A,P,L,J,A,A,C,E,K,H,B,BI,EB,A,AK,AE,A,L,CI,0.289618,0.358319,0.65431,0.354893,0.422268,0.186254,0.317274,0.27797,0.32128,0.24355,0.209813,0.207184,0.30435,0.466361,3734.04
41096,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,C,B,B,C,B,D,C,A,A,A,A,A,C,D,C,E,E,D,T,H,A,A,A,F,G,J,L,K,BI,CO,E,AH,Y,A,P,GC,0.281338,0.827585,0.745801,0.463029,0.551723,0.364192,0.432535,0.81542,0.32128,0.41743,0.6075,0.594646,0.660756,0.236487,7227.17
41374,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,B,B,D,B,D,E,C,A,P,A,D,A,A,E,E,I,F,B,BQ,V,A,S,BM,A,K,DJ,0.475784,0.299102,0.440642,0.534409,0.78323,0.326207,0.36897,0.36083,0.39849,0.39599,0.29775,0.292356,0.339244,0.676388,1327.81
42296,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,A,C,B,C,E,A,A,D,I,A,A,A,H,F,F,D,D,BI,AM,C,E,I,E,H,HY,0.720498,0.078346,0.397983,0.761209,0.281143,0.505057,0.59331,0.25461,0.53774,0.63026,0.6075,0.594646,0.248493,0.815282,1401.6
42758,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,A,C,T,N,A,A,B,K,G,G,J,G,BI,EG,A,T,L,E,O,LM,0.671496,0.358319,0.26357,0.705434,0.281143,0.703874,0.426536,0.76398,0.64296,0.7877,0.757468,0.772574,0.810511,0.200092,1717.13
42909,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,C,D,B,A,C,B,B,D,A,A,A,A,A,D,D,D,E,C,A,P,C,F,A,B,F,G,F,F,D,BI,BT,A,AN,A,A,J,HB,0.477231,0.555782,0.762059,0.208655,0.281143,0.476555,0.687991,0.26847,0.41471,0.47779,0.672085,0.658814,0.30435,0.285489,5321.31
43153,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,D,B,D,A,A,B,A,C,B,C,E,E,C,T,I,A,A,A,F,E,I,G,G,BI,DW,C,AH,Y,A,O,GC,0.667647,0.199504,0.174588,0.463029,0.422268,0.386522,0.303751,0.48266,0.75974,0.32935,0.25418,0.270746,0.562997,0.251516,580.64
43397,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,A,D,D,D,E,C,A,P,I,A,A,A,G,H,H,F,B,BI,DK,G,J,AF,A,K,HG,0.471447,0.681761,0.65431,0.252014,0.482436,0.381515,0.347485,0.24564,0.40455,0.47225,0.640428,0.627291,0.342239,0.390237,1021.47
43506,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,B,D,B,A,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,D,A,A,E,D,I,K,K,AB,EL,G,E,AF,A,N,DJ,0.311557,0.299102,0.397983,0.189137,0.281143,0.438917,0.321006,0.29758,0.32128,0.50556,0.275431,0.270746,0.601887,0.804045,2150.35
43701,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,C,A,D,D,C,E,E,D,T,M,C,A,A,E,E,J,J,K,BI,EL,A,AV,BJ,A,O,DP,0.287238,0.299102,0.462347,0.267727,0.68211,0.327242,0.392775,0.47669,0.25753,0.26894,0.324486,0.318249,0.490001,0.29073,1438
43798,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,A,E,E,H,F,B,BI,CS,E,E,AE,E,K,DJ,0.503312,0.555782,0.527991,0.373816,0.422268,0.336105,0.350175,0.26847,0.41471,0.44467,0.327915,0.32157,0.318646,0.826364,4121.99
44257,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,K,A,C,A,H,F,G,L,K,BI,CS,A,AV,L,F,Q,IG,0.513457,0.488789,0.527991,0.753703,0.281143,0.74041,0.582549,0.87954,0.521,0.60932,0.774247,0.761665,0.824432,0.304442,1420.5
44298,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,L,G,A,A,K,H,F,F,B,BI,BT,A,AS,M,A,J,MD,0.585115,0.620805,0.336963,0.670373,0.585792,0.613868,0.724311,0.45883,0.66201,0.58257,0.880469,0.871011,0.354344,0.423143,3984.31
44808,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,D,B,B,B,D,B,B,C,B,B,D,A,A,A,B,H,D,B,D,E,E,A,P,F,A,C,A,D,E,J,G,B,AB,EG,A,AR,K,A,L,DC,0.354006,0.555782,0.440642,0.83324,0.405415,0.252511,0.254402,0.59512,0.32496,0.26029,0.257148,0.253044,0.315758,0.414586,2374.91
44863,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,A,A,A,A,F,F,F,G,D,BI,CS,A,N,H,C,J,GS,0.331798,0.785784,0.692825,0.284048,0.281143,0.471277,0.74974,0.7133,0.43111,0.43919,0.569745,0.55738,0.282249,0.598847,1313.24
45264,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,D,B,B,B,C,B,D,C,B,B,C,A,A,B,B,H,D,D,C,G,E,A,N,F,A,E,A,C,D,I,H,B,BI,CO,A,AF,BM,C,M,EK,0.284869,0.620805,0.61366,0.514031,0.281143,0.287716,0.41931,0.67263,0.38249,0.26029,0.169206,0.167768,0.363547,0.219372,7565.74
45328,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,C,B,A,A,A,G,H,D,D,E,E,G,E,R,L,C,A,A,G,F,H,I,F,BI,BT,A,E,AX,A,N,HK,0.682905,0.358319,0.527991,0.432728,0.534484,0.58992,0.471067,0.57187,0.73271,0.75234,0.569745,0.594646,0.720444,0.813562,766.12
45432,B,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,A,B,D,B,A,A,A,G,H,D,A,C,E,A,C,T,F,D,A,B,K,E,H,J,G,BI,EL,A,AI,L,A,O,JL,0.54667,0.047297,0.063386,0.364302,0.281143,0.537037,0.25949,0.24123,0.61353,0.71775,0.415029,0.481306,0.736269,0.351322,1319
45775,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,B,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,G,F,G,J,K,BI,W,G,I,AX,A,N,HK,0.45271,0.422197,0.54977,0.432728,0.281143,0.577059,0.570985,0.65663,0.4832,0.57716,0.625936,0.612906,0.617748,0.289721,3319.65
45982,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,C,C,E,C,D,T,L,D,A,A,H,F,G,M,K,BI,BC,A,AR,AX,A,Q,IE,0.330514,0.422197,0.462347,0.473202,0.281143,0.666096,0.450714,0.61795,0.38249,0.51111,0.695685,0.682413,0.756454,0.420675,777.67
46215,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,A,B,B,B,A,C,A,G,H,D,D,D,E,C,A,P,O,A,C,A,F,G,I,F,B,BI,BT,A,AC,AE,A,K,GS,0.478678,0.245921,0.484196,0.309621,0.61906,0.290374,0.381301,0.26847,0.39447,0.37493,0.453334,0.443374,0.310026,0.662851,1803.38
46351,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,D,A,D,D,D,E,C,A,P,M,O,A,A,E,E,I,F,B,BI,BT,A,E,AE,A,K,DI,0.478678,0.245921,0.419161,0.336414,0.602545,0.290374,0.381301,0.26847,0.39447,0.37493,0.26014,0.26476,0.310026,0.797919,2647.64
46537,A,B,B,B,B,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,B,D,B,B,C,B,B,D,A,A,B,A,A,D,D,C,E,D,A,K,L,I,A,B,C,E,K,K,A,BI,CQ,C,AS,AV,A,L,CB,0.06752,0.555782,0.65431,0.176921,0.281143,0.204165,0.35085,0.23688,0.22234,0.19782,0.192281,0.190178,0.268941,0.71487,3113.8
46825,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,C,B,C,A,B,B,C,A,A,A,G,H,D,B,C,E,E,A,D,F,A,A,A,D,E,I,F,A,AB,EG,C,AT,BG,A,K,DC,0.415686,0.358319,0.419161,0.195483,0.465115,0.251403,0.272789,0.27797,0.32311,0.26029,0.24541,0.241676,0.284958,0.764894,2461.65
47405,A,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,E,A,P,F,J,A,A,D,F,J,G,B,BI,EL,A,S,AK,A,K,CS,0.325401,0.737068,0.711159,0.195483,0.310061,0.236653,0.28329,0.34445,0.34365,0.35434,0.288058,0.289207,0.327393,0.677891,1271.94
48122,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,B,D,D,B,B,D,B,B,B,A,A,A,B,A,D,D,D,E,C,A,P,D,A,A,D,G,H,F,G,D,BI,BT,A,N,AG,A,L,HK,0.444104,0.620805,0.844219,0.208655,0.288217,0.500353,0.698901,0.31796,0.5042,0.34928,0.812519,0.800726,0.336261,0.603582,1840.69
48982,B,B,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,A,A,D,D,D,D,F,A,P,A,L,A,A,I,F,E,D,J,BI,EL,A,AY,X,A,I,KX,1.60E-05,0.785784,0.201309,0.940071,0.689594,0.012683,0.069503,0.34445,8.00E-05,0,0.603774,0.590961,0.000228,0.544599,2424.9
49328,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,C,A,C,B,C,E,A,C,T,M,C,A,A,J,F,F,G,G,BI,CS,A,AP,L,A,O,LF,0.907272,0.555782,0.356819,0.713852,0.281143,0.819104,0.489667,0.88205,0.93383,0.7877,0.784967,0.772574,0.784711,0.357368,2624.89
50029,A,B,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,L,J,A,A,E,E,G,E,B,AB,T,A,AS,Q,A,J,DM,0.504762,0.358319,0.397983,0.775744,0.413817,0.36856,0.347373,0.51256,0.41675,0.39068,0.275431,0.270746,0.256038,0.723787,2830.18
50426,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,C,A,B,D,B,D,A,A,G,H,D,B,C,B,G,C,T,G,A,A,A,M,E,D,H,G,BI,CO,C,M,Y,A,Q,JX,0.961159,0.737068,0.246911,0.821574,0.397069,0.968258,0.686506,0.58934,0.97621,0.8351,0.895938,0.887214,0.906079,0.761105,1145.18
50562,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,A,B,C,B,A,A,A,G,H,D,B,E,E,G,E,R,F,A,A,A,H,E,H,I,F,AB,DW,A,X,S,C,M,HX,0.636078,0.358319,0.280933,0.761209,0.696981,0.583933,0.467749,0.5245,0.64873,0.79139,0.511698,0.500382,0.689974,0.387455,839.21
51152,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,G,A,A,D,F,G,G,D,BI,BT,A,J,F,A,K,CW,0.355333,0.620805,0.944251,0.412789,0.397069,0.419901,0.613736,0.55421,0.33799,0.34928,0.453334,0.443374,0.290422,0.38192,1889.79
51725,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,C,B,A,A,A,B,H,D,B,E,E,G,E,R,F,A,A,C,H,E,G,I,F,BI,BC,A,J,S,A,M,HX,0.636078,0.555782,0.280933,0.761209,0.696981,0.637549,0.44376,0.5245,0.64873,0.79139,0.511698,0.500382,0.689974,0.408085,1324.1
52265,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,B,A,A,A,G,F,F,J,K,BI,CQ,G,AF,AJ,A,N,HQ,0.484469,0.827585,0.762059,0.452887,0.348388,0.755048,0.586385,0.34987,0.55855,0.70405,0.757468,0.758883,0.666708,0.213177,3076.66
52269,B,B,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,A,B,C,B,B,D,A,A,A,B,H,C,D,D,E,C,A,P,F,J,B,A,G,H,G,F,D,BI,CL,G,E,AN,A,K,HK,0.503312,0.620805,0.711159,0.229617,0.281143,0.463958,0.692003,0.37194,0.44352,0.45017,0.718299,0.705111,0.315758,0.804576,14107.23
52392,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,H,D,D,C,E,E,A,K,F,G,A,A,E,F,H,E,A,AB,CO,C,AP,AU,A,I,GI,0.415686,0.245921,0.506105,0.859731,0.666857,0.270911,0.316633,0.2638,0.38448,0.33924,0.341813,0.335036,0.193619,0.478606,2799.83
